Grid_ID,Grid_X,Grid_Y,Center_Latitude,Center_Longitude,South_Latitude,North_Latitude,West_Longitude,East_Longitude,Cell_Size_m,Cell_Area_m2,Cell_Area_hectares,Historical_Samples,Historical_Unique_Dates,Persistent_Reliable_Cell,Observation_Support,Inside_Study_Footprint
8401_1424,8401,1424,12.796442687747035,77.4505814838062,12.79195113187208,12.80093424362199,77.44597215324119,77.4551908143712,1000,1000000,100,1,1,False,Limited,True
8402_1424,8402,1424,12.796442687747035,77.45980014493621,12.79195113187208,12.80093424362199,77.4551908143712,77.46440947550121,1000,1000000,100,1,1,False,Limited,True
8403_1424,8403,1424,12.796442687747035,77.46901880606623,12.79195113187208,12.80093424362199,77.46440947550121,77.47362813663123,1000,1000000,100,0,0,False,Prediction Only,True
8404_1424,8404,1424,12.796442687747035,77.47823746719624,12.79195113187208,12.80093424362199,77.47362813663123,77.48284679776124,1000,1000000,100,1,1,False,Limited,True
8405_1424,8405,1424,12.796442687747035,77.48745612832626,12.79195113187208,12.80093424362199,77.48284679776124,77.49206545889126,1000,1000000,100,1,1,False,Limited,True
8406_1424,8406,1424,12.796442687747035,77.49667478945626,12.79195113187208,12.80093424362199,77.49206545889126,77.50128412002127,1000,1000000,100,2,2,False,Limited,True
8407_1424,8407,1424,12.796442687747035,77.50589345058627,12.79195113187208,12.80093424362199,77.50128412002127,77.51050278115129,1000,1000000,100,0,0,False,Prediction Only,True
8408_1424,8408,1424,12.796442687747035,77.51511211171629,12.79195113187208,12.80093424362199,77.51050278115129,77.5197214422813,1000,1000000,100,0,0,False,Prediction Only,True
8409_1424,8409,1424,12.796442687747035,77.5243307728463,12.79195113187208,12.80093424362199,77.5197214422813,77.52894010341132,1000,1000000,100,0,0,False,Prediction Only,True
8410_1424,8410,1424,12.796442687747035,77.53354943397632,12.79195113187208,12.80093424362199,77.52894010341132,77.53815876454132,1000,1000000,100,0,0,False,Prediction Only,True
8411_1424,8411,1424,12.796442687747035,77.54276809510633,12.79195113187208,12.80093424362199,77.53815876454132,77.54737742567134,1000,1000000,100,0,0,False,Prediction Only,True
8412_1424,8412,1424,12.796442687747035,77.55198675623635,12.79195113187208,12.80093424362199,77.54737742567134,77.55659608680135,1000,1000000,100,0,0,False,Prediction Only,True
8413_1424,8413,1424,12.796442687747035,77.56120541736635,12.79195113187208,12.80093424362199,77.55659608680135,77.56581474793137,1000,1000000,100,1,1,False,Limited,True
8414_1424,8414,1424,12.796442687747035,77.57042407849637,12.79195113187208,12.80093424362199,77.56581474793137,77.57503340906138,1000,1000000,100,0,0,False,Prediction Only,True
8415_1424,8415,1424,12.796442687747035,77.57964273962638,12.79195113187208,12.80093424362199,77.57503340906138,77.5842520701914,1000,1000000,100,2,2,False,Limited,True
8416_1424,8416,1424,12.796442687747035,77.5888614007564,12.79195113187208,12.80093424362199,77.5842520701914,77.5934707313214,1000,1000000,100,0,0,False,Prediction Only,True
8417_1424,8417,1424,12.796442687747035,77.5980800618864,12.79195113187208,12.80093424362199,77.5934707313214,77.60268939245141,1000,1000000,100,0,0,False,Prediction Only,True
8418_1424,8418,1424,12.796442687747035,77.60729872301643,12.79195113187208,12.80093424362199,77.60268939245141,77.61190805358143,1000,1000000,100,0,0,False,Prediction Only,True
8419_1424,8419,1424,12.796442687747035,77.61651738414643,12.79195113187208,12.80093424362199,77.61190805358143,77.62112671471144,1000,1000000,100,1,1,False,Limited,True
