Grid_ID,Latitude,Longitude,Total_Samples,Unique_Dates,Median_Predicted_LST,Mean_Predicted_LST,Maximum_Predicted_LST,Hot_Observations,Very_Hot_Observations,Median_L_NDVI,Median_S2_NDVI,Median_Tree_Probability,Median_Built_Probability,Median_Distance_To_Water,Median_Albedo,Hot_Frequency,Very_Hot_Frequency,Reliable_Cell,Heat_Intensity_Score,Hot_Frequency_Score,Very_Hot_Frequency_Score,Low_Tree_Score,Built_Score,Water_Distance_Score,Low_Albedo_Score,Persistent_Heat_Score,Persistent_Cooling_Priority,Cell_Area_m2,Cell_Area_hectares,Min_Greening_Fraction,Max_Greening_Fraction,Need_Factor,Suggested_Greening_Fraction,Suggested_Greening_Percent,Suggested_Greening_Area_m2,Assumed_Mature_Canopy_Per_Tree_m2,Approx_Trees_To_Plant,Trees_Per_Hectare,Recommended_Action
8401_1425,12.808779267753184,77.45314045768814,3,3,43.99416178880004,44.111884094300024,47.86240338320003,2,2,0.3691699100363682,0.3081909251620506,0.0513858944177627,0.1858265607152134,6243.396511515186,0.1443990225,0.6666666666666666,0.6666666666666666,True,0.8780103689611516,0.6666666666666666,0.6666666666666666,0.9511179963288444,0.21892659210154017,0.32792266354742905,0.47078375051023313,70.12321233840426,Very High,1000000,100.0,0.12,0.18,0.7193443165847303,0.1631606589950838,16.31606589950838,163160.6589950838,30,5439,54.39,Major tree-canopy expansion and restoration of open green areas
8401_1431,12.859092375089208,77.45186650913271,5,4,38.24541104090001,38.90902304192001,44.28935908610004,1,1,0.3395836688395802,0.3335313335313335,0.0436617145314812,0.4424356465460732,13497.407158413796,0.1533268425,0.2,0.2,True,0.5752937587349172,0.2,0.2,0.9648089217250798,0.5662948841212481,0.7089259344985978,0.42818063909260107,50.07942829709218,Moderate,1000000,100.0,0.04,0.07,0.6556634376867896,0.05966990313060369,5.966990313060369,59669.90313060369,30,1989,19.89,Targeted tree planting and protection of existing vegetation
8401_1436,12.90286275218942,77.45359102844213,4,3,36.50869798880001,36.43044669342501,37.93666129430001,0,0,0.2223081985496112,0.15964321028191145,0.029748503351584,0.5491016238811426,7073.242374289466,0.176307685,0.0,0.0,True,0.48384225716139445,0.0,0.0,0.9894697580974109,0.7106871929263948,0.3715087572950958,0.3185172057462128,39.91431583077349,Low,1000000,100.0,0.01,0.03,0.6368723176339844,0.022737446352679686,2.2737446352679687,22737.446352679686,30,758,7.58,Maintain existing vegetation and monitor future heat
8401_1441,12.947351929423665,77.45373505104939,4,3,38.38698542930003,38.06375182295003,44.26791101060005,2,2,0.3919927570248848,0.3568562494533368,0.04858096130192275,0.40381668705958873,1276.4982043070834,0.15173127875,0.5,0.5,True,0.58274875562567,0.5,0.5,0.9560896736584467,0.5140169144891021,0.06704566823488557,0.4357945896667821,56.97817820804616,High,1000000,100.0,0.08,0.12,0.7308482197270437,0.10923392878908175,10.923392878908174,109233.92878908175,30,3642,36.42,"Increase tree canopy, shaded streets and connected green corridors"
8401_1448,13.009549029926514,77.45175304980461,5,4,33.70986940190002,35.00413343708002,41.90855434520002,1,0,0.3000358494807901,0.2383063622256706,0.0412907658610492,0.3021555991144851,1081.6653826391969,0.1881319149999999,0.2,0.0,True,0.3364620802177099,0.2,0.0,0.9690113719324913,0.3763996576019763,0.0568124405822838,0.26209257037971767,34.98755461634843,Low,1000000,100.0,0.01,0.03,0.6197856174866408,0.022395712349732817,2.239571234973282,22395.712349732818,30,747,7.47,Maintain existing vegetation and monitor future heat
8401_1450,13.029601125135734,77.45424791179481,3,3,36.144866849900005,35.27386420670001,36.5551830608,0,0,0.3489631015404211,0.3992094861660079,0.2032532626762986,0.1109246930573135,6432.7288144301565,0.14651006,0.0,0.0,True,0.4646837070880952,0.0,0.0,0.6819366929981217,0.11753293430034828,0.3378669867940682,0.4607099849303604,29.337775809240313,Low,1000000,100.0,0.01,0.03,0.3644749333591305,0.017289498667182608,1.7289498667182608,17289.49866718261,30,577,5.77,Maintain existing vegetation and monitor future heat
8401_1451,13.040215428674882,77.45388685403319,3,3,33.05495967980001,34.03327106090001,37.478287722200015,0,0,0.3342545360625041,0.3566121842496285,0.2065898940199986,0.3380583666730672,9677.293009927933,0.13998838,0.0,0.0,True,0.30197597014401406,0.0,0.0,0.6760225931876718,0.4250007545008821,0.5082816210521832,0.49183111636783816,28.450189234244426,Low,1000000,100.0,0.01,0.03,0.4230114474940123,0.018460228949880246,1.8460228949880246,18460.228949880246,30,616,6.16,Maintain existing vegetation and monitor future heat
8401_1458,13.102027888806198,77.45277434656509,3,3,40.51648024970004,40.827901748600034,44.03507548820004,1,1,0.4078686198594727,0.2944458534111083,0.1704761481378227,0.2525393748655915,5556.977595779922,0.149932215,0.3333333333333333,0.3333333333333333,True,0.6948832839423293,0.3333333333333333,0.3333333333333333,0.740033350048682,0.3092348375489356,0.29186980053575096,0.4443796320834833,50.3872609742523,Moderate,1000000,100.0,0.04,0.07,0.5318636425341281,0.05595590927602385,5.595590927602385,55955.90927602385,30,1866,18.66,Targeted tree planting and protection of existing vegetation
8401_1460,13.119061979690805,77.45182148777211,6,4,34.66009605200003,35.29528379870002,43.44259590140002,1,0,0.4736931711553286,0.5146664712358611,0.36600256769452244,0.0445233092177659,9324.549139770235,0.12869040374999996,0.16666666666666666,0.0,True,0.38649893223638193,0.16666666666666666,0.0,0.3934674152109726,0.027646267905019898,0.48975441246647256,0.5457444951067141,27.117603078838844,Low,1000000,100.0,0.01,0.03,0.2522629611864903,0.015045259223729804,1.5045259223729803,15045.259223729803,30,502,5.02,Maintain existing vegetation and monitor future heat
8401_1462,13.134751956120772,77.45109906786061,5,5,37.19587381970001,39.27114175280002,45.59714480840003,2,1,0.294079397441021,0.2016,0.0323424572125077,0.0823441976681351,12778.106275970633,0.1838361949999999,0.4,0.2,True,0.5200274297809296,0.4,0.2,0.9848720364863106,0.07884389943523089,0.6711460080070261,0.28259153180355356,47.93103013412775,Moderate,1000000,100.0,0.04,0.07,0.6282047981302015,0.05884614394390605,5.884614394390605,58846.14394390605,30,1962,19.62,Targeted tree planting and protection of existing vegetation
